comment_id,thread_id,title,thread_url,post_id,username,datetime,datetime_utc,page,comment,comment_length_chars,comment_length_words,source
ff2933934801cbac,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43033940,Skill up,2026-07-21T14:26:01+0700,2026-07-21T07:26:01+00:00,1,https://tuoitre.vn/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the-100260721131001269.htm,123,1,voz.vn
43d3473cdc93272a,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034051,TuDragon76,2026-07-21T14:32:08+0700,2026-07-21T07:32:08+00:00,1,Tội quá,7,2,voz.vn
5d8d916ad104c18a,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034087,kicksites,2026-07-21T14:34:30+0700,2026-07-21T07:34:30+00:00,1,tại sao xe đường dài ở Việt Nam bọn nhà xe luôn tháo búa thoát hiểm???,70,16,voz.vn
d0933443bd1bb320,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034153,TuDragon76,2026-07-21T14:38:22+0700,2026-07-21T07:38:22+00:00,1,"""Tăng xin, giảm mua. Tích cực cầm nhầm""",39,8,voz.vn
3b4e59d9db8cd56f,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034177,nguoixua,2026-07-21T14:39:52+0700,2026-07-21T07:39:52+00:00,1,VN anh hỏi câu này thừa quá,31,7,voz.vn
68179776f22d6998,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034193,Yui_Salvation,2026-07-21T14:40:36+0700,2026-07-21T07:40:36+00:00,1,"Vậy là vẫn có người phá kính thoát ra được mà, sao 7 người kia chết nhỉ? Ngủ quên trên xe luôn à",96,23,voz.vn
a919fb8fc702e126,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034244,SuieDark199x,2026-07-21T14:43:48+0700,2026-07-21T07:43:48+00:00,1,xe buýt và xe khách mấy lần tôi đi thì còn dùng dây rút gắn chặt vào xe luôn... sợ bị mất trộm,94,23,voz.vn
dc04415d869ea44b,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034272,longhandso21,2026-07-21T14:45:28+0700,2026-07-21T07:45:28+00:00,1,"Ngủ sâu, ngạt khí, đi 1 mình",28,7,voz.vn
f608254c2a9dd0b0,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034277,God of Moon,2026-07-21T14:45:40+0700,2026-07-21T07:45:40+00:00,1,Cháy lúc 2:30 sáng thì trên xe chắc 90% là đang ngủ rồi fen,59,14,voz.vn
9fbfa8838a6a098d,dd7061cd2b85,"Vụ cháy xe khách 7 người chết: Cha mẹ phá cửa cứu được 2 con, một bé bỏng 50% cơ thể",https://voz.vn/t/vu-chay-xe-khach-7-nguoi-chet-cha-me-pha-cua-cuu-duoc-2-con-mot-be-bong-50-co-the.1262480/,post-43034294,Anmission161,2026-07-21T14:46:19+0700,2026-07-21T07:46:19+00:00,1,khả năng đang ngủ xong ngất do khói hoặc tác động,49,11,voz.vn
